OCCURNUM,PRTAGE,PRCOW1,PEIO1ICD,HEFAMINC,PESEX,HRNUMHOU,PEEDUCA,PTDTRACE,state,county
1,24,4,770,15,1,6,40,1,24,17
2,19,4,8680,15,2,6,39,1,24,17
3,41,4,770,15,1,6,39,1,24,17
4,46,4,8680,15,2,6,39,1,24,17
5,16,-1,-1,15,2,6,36,1,24,17
6,17,-1,-1,15,1,6,37,1,24,17
1,29,4,8680,8,1,4,32,2,24,17
2,27,4,8680,8,2,4,33,2,24,17
3,25,4,8680,8,1,4,34,2,24,17
4,6,-1,-1,8,1,4,-1,2,24,17
1,76,-1,-1,15,2,1,43,1,24,17
1,42,2,7860,16,2,7,44,2,24,17
2,50,1,8680,16,1,7,39,2,24,17
3,10,-1,-1,16,2,7,-1,2,24,17
4,76,-1,-1,16,2,7,40,2,24,17
5,77,-1,-1,16,2,7,39,2,24,17
6,80,-1,-1,16,1,7,39,2,24,17
7,0,-1,-1,16,2,7,-1,2,24,17
1,66,4,7290,13,1,2,40,1,24,17
2,71,-1,-1,13,2,2,40,1,24,17
1,53,4,6690,16,1,2,40,1,24,17
2,50,4,6690,16,2,2,43,1,24,17
1,56,-1,-1,16,1,1,39,2,24,17
1,60,1,9590,16,1,2,44,2,24,17
2,58,-1,-1,16,2,2,39,2,24,17
1,52,4,8191,16,2,2,40,1,24,17
2,20,1,9470,16,1,2,40,1,24,17
1,70,2,9470,1,2,3,44,3,24,17
2,34,-1,-1,1,2,3,34,3,24,17
3,17,-1,-1,1,2,3,35,3,24,17
