OCCURNUM,PRTAGE,PRCOW1,PEIO1ICD,HEFAMINC,PESEX,HRNUMHOU,PEEDUCA,PTDTRACE,state,county
1,43,4,8090,16,2,2,40,1,51,107
2,41,4,7290,16,2,2,42,1,51,107
1,52,4,7390,1,1,3,44,4,51,107
2,50,4,7380,1,2,3,43,4,51,107
3,18,-1,-1,1,2,3,40,4,51,107
1,39,4,7072,15,2,2,39,1,51,107
2,22,4,4971,15,1,2,39,6,51,107
1,39,4,7071,16,2,6,44,1,51,107
2,39,4,7380,16,1,6,44,1,51,107
3,12,-1,-1,16,1,6,-1,1,51,107
4,9,-1,-1,16,2,6,-1,1,51,107
5,7,-1,-1,16,1,6,-1,1,51,107
6,4,-1,-1,16,1,6,-1,1,51,107
1,50,4,8680,15,1,4,43,1,51,107
2,41,4,7880,15,2,4,43,1,51,107
3,7,-1,-1,15,2,4,-1,1,51,107
4,9,-1,-1,15,2,4,-1,1,51,107
1,53,4,7390,16,1,4,44,1,51,107
2,52,4,7270,16,2,4,43,1,51,107
3,8,-1,-1,16,1,4,-1,1,51,107
4,5,-1,-1,16,1,4,-1,1,51,107
1,33,4,7290,16,1,6,44,1,51,107
2,30,-1,-1,16,2,6,43,1,51,107
3,14,-1,-1,16,1,6,-1,1,51,107
4,15,-1,-1,16,2,6,35,1,51,107
5,2,-1,-1,16,2,6,-1,1,51,107
6,1,-1,-1,16,1,6,-1,1,51,107
1,80,-1,-1,16,1,3,44,4,51,107
2,49,4,7380,16,1,3,43,4,51,107
3,76,-1,-1,16,2,3,43,4,51,107
1,42,4,7980,16,2,6,43,1,51,107
2,45,4,7380,16,1,6,43,1,51,107
3,15,-1,-1,16,1,6,34,1,51,107
4,12,-1,-1,16,1,6,-1,1,51,107
5,9,-1,-1,16,1,6,-1,1,51,107
6,4,-1,-1,16,1,6,-1,1,51,107
1,65,-1,-1,13,2,2,44,1,51,107
2,67,-1,-1,13,1,2,43,1,51,107
1,39,4,6670,16,1,4,44,4,51,107
2,31,4,7380,16,2,4,43,4,51,107
3,7,-1,-1,16,1,4,-1,4,51,107
4,4,-1,-1,16,2,4,-1,4,51,107
1,35,4,7970,15,1,2,40,8,51,107
2,35,4,7870,15,2,2,43,1,51,107
1,29,4,7970,16,2,2,44,1,51,107
2,29,4,7390,16,1,2,44,1,51,107
1,39,3,770,15,1,3,43,4,51,107
2,25,4,5391,15,2,3,39,4,51,107
3,2,-1,-1,15,1,3,-1,4,51,107
1,62,4,7970,16,1,2,44,1,51,107
3,59,3,7860,16,2,2,39,1,51,107
1,62,5,8470,13,2,2,43,1,51,107
2,71,6,8470,13,1,2,43,1,51,107
1,31,4,8191,16,2,2,43,1,51,107
2,34,4,6970,16,1,2,43,1,51,107
1,46,4,7460,16,2,4,43,1,51,107
2,46,4,7380,16,1,4,40,1,51,107
3,10,-1,-1,16,2,4,-1,1,51,107
